250,83,86
240,165,173
230,243,257
220,321,341
210,397,423
200,472,502
190,546,580
180,617,655
170,687,729
160,753,798
150,815,865
140,873,927
130,929,985
120,979,1040
110,1025,1091
100,1068,1136
90,1106,1177
80,1137,1210
70,1161,1237
60,1181,1259
50,1195,1275
40,1205,1286
30,1209,1291
20,1209,1291
10,1209,1291
0,1209,1291
10,1209,1291
20,1209,1291
30,1209,1291
40,1209,1291
50,1209,1291
60,1209,1291
70,1209,1291
80,1209,1291
90,1209,1291
100,1209,1291
110,1209,1291
120,1209,1291
130,1209,1291
140,1209,1291
150,1225,1315
160,1271,1371
170,1332,1438
180,1398,1509
190,1469,1585
200,1543,1662
210,1621,1743
220,1701,1827
230,1782,1912
240,1865,1999
